borrower_id,gender,age,education_level,immigration_status,marital_status,dependents,industry_sector,employment_status,annual_income,income_decile,years_with_current_employer,total_years_employment,income_type,assets,total_liabilities,net_worth,liquid_assets,number_of_open_loans,total_value_of_open_loans,delinquencies_past_12mo,credit_score,credit_utilization,property_value,mortgage_amount,loan_to_value,monthly_payment,interest_rate,term_years,mortgage_start_year,risk_category,cluster_id,after_stress_risk_category
B00001,Male,24,Bachelor's degree,Recent immigrant,Married,0,Logistics,Self-employed,101293.41,9,6,10,Contract,283000,89584.76,193415.24,64365.19,1,98961.03,0,667,29.9,885416,607457,68.61,719.99,5.92,30,2019,,,
B00002,Female,21,Trades or apprenticeship certificate,Canadian-born,Married,3,Finance,Unemployed,58391.17,6,1,14,Hourly,206000,94282.69,111717.31,65514.65,2,111772.9,1,680,31.25,871824,666068,76.4,2048.9,7.02,25,2023,,,
B00003,Female,19,Doctoral degree,Long-term immigrant,Divorced,0,Manual Labor,Employed,83351.9,9,2,10,Salaried,272000,187622.77,84377.23,84690.72,2,199723.16,1,719,58.56,566433,378715,66.86,1667.86,6.79,30,2024,,,
B00004,Female,22,College or CEGEP certificate or diploma,Canadian-born,Single,0,Logistics,Employed,66593.74,8,5,14,Salaried,277000,104531.57,172468.43,39530.3,1,111235.88,0,744,15.28,814942,666163,81.74,1407.11,5.23,25,2023,,,
B00005,Male,23,Bachelor's degree,Canadian-born,Single,0,Tech,Self-employed,154016.07,10,6,25,Salaried,278000,198287.1,79712.9,76543.2,0,0,0,657,11.29,1039158,968867,93.24,1236.31,3.22,30,2022,,,
B00006,Male,20,University certificate or diploma above a bachelor's degree,Canadian-born,Married,0,Construction,Self-employed,57077.56,5,5,15,Contract,217000,152367.56,64632.44,94187.74,2,162783.02,1,676,19.05,819627,605433,73.87,1980.02,3.88,30,2023,,,
B00007,Male,20,High school diploma or equivalent,Recent immigrant,Married,1,Tech,Employed,76102.72,8,3,12,Salaried,273000,156953.79,116046.21,130864.94,1,163017.04,0,565,37.39,887350,815111,91.86,1513.99,6.72,20,2022,,,
B00008,Female,20,Bachelor's degree,Canadian-born,Married,0,Education,Self-employed,13642.68,1,2,4,Salaried,152000,107517.58,44482.42,19712.44,5,122564.09,0,700,47.67,1100577,992602,90.19,1839.17,4.82,20,2023,,,
B00009,Female,24,College or CEGEP certificate or diploma,Canadian-born,Married,0,Construction,Employed,84317.81,9,5,20,Salaried,291000,172717.2,118282.8,53547.72,1,176768.64,0,623,17.25,1105468,969041,87.66,713.89,5.83,30,2019,,,
B00010,Female,23,Trades or apprenticeship certificate,Canadian-born,Single,3,Logistics,Unemployed,84868.59,8,1,14,Salaried,277000,86828.96,190171.04,94979.1,3,92439.98,0,761,46.98,961822,722702,75.14,1095.27,5.41,30,2022,,,
B00011,Male,18,"No certificate, diploma or degree",Canadian-born,Married,0,Healthcare,Employed,94103.4,9,1,13,Salaried,252000,52164.27,199835.73,64006.94,2,59940.97,0,697,27.58,1099572,908243,82.6,2251.24,3.07,20,2024,,,
B00012,Female,23,University certificate or diploma above a bachelor's degree,Long-term immigrant,Married,2,Manual Labor,Employed,75828.85,9,1,13,Salaried,275000,153368.11,121631.89,39884.24,0,0,0,637,37.9,618708,546878,88.39,797.81,2.15,20,2020,,,
B00013,Female,18,High school diploma or equivalent,Long-term immigrant,Married,2,Retail,Employed,59971.78,6,2,4,Salaried,218000,70479.42,147520.58,27976.58,2,87255.13,1,710,46.74,956321,637344,66.65,1451.77,5.9,20,2024,,,
B00014,Male,20,First professional degree,Canadian-born,Married,1,Other,Unemployed,42482.92,4,1,17,Salaried,188000,106448.64,81551.36,82885.39,5,123897.96,1,583,35.45,1123099,730137,65.01,1631.44,5.83,30,2024,,,
B00015,Male,21,College or CEGEP certificate or diploma,Canadian-born,Married,1,Tech,Unemployed,46483.23,4,2,10,Hourly,182000,60185.25,121814.75,57968.56,6,74112.93,0,659,7.68,1053134,757001,71.88,1070.33,3.92,30,2024,,,
B00016,Male,21,College or CEGEP certificate or diploma,Canadian-born,Single,1,Tech,Employed,85291.54,9,2,7,Salaried,300000,82927.44,217072.56,71263.75,2,90274.11,0,755,5.87,768396,714156,92.94,1439.18,5.37,15,2024,,,
B00017,Male,18,Trades or apprenticeship certificate,Recent immigrant,Single,0,Healthcare,Employed,156003.12,10,2,21,Salaried,303000,137131.89,165868.11,116648.33,1,138556.83,1,644,60.13,854758,741865,86.79,1558.65,5.13,30,2024,,,
B00018,Female,20,College or CEGEP certificate or diploma,Canadian-born,Married,3,Education,Employed,63385.69,7,6,19,Hourly,223000,144805.16,78194.84,91789.04,0,0,0,701,25.26,633378,546066,86.22,1476.45,3.68,20,2023,,,
B00019,Male,23,College or CEGEP certificate or diploma,Long-term immigrant,Single,2,Finance,Employed,30064.57,4,3,22,Salaried,160000,54634.93,105365.07,46773.5,1,70831.8,0,678,31.98,1228429,908986,74,2861.66,2.43,25,2020,,,
B00020,Male,21,High school diploma or equivalent,Canadian-born,Married,3,Logistics,Employed,26542.27,2,19,35,Salaried,170000,119552.88,50447.12,33652.34,3,126816.06,0,674,16.3,1140756,803084,70.4,1288.9,3.01,30,2023,,,
B00021,Female,18,High school diploma or equivalent,Canadian-born,Married,3,Education,Employed,66634.98,7,14,27,Salaried,246000,180951.72,65048.28,51582.47,0,0,0,664,44.11,803405,607252,75.58,2084.1,4.35,25,2024,,,
B00022,Male,23,University transfer program,Canadian-born,Single,0,Finance,Student,90410.81,9,18,20,Salaried,283000,100075.12,182924.88,50983.64,5,109564.91,0,772,46.49,817358,650883,79.63,1700.33,4.89,30,2022,,,
B00023,Male,20,College or CEGEP certificate or diploma,Long-term immigrant,Single,0,Logistics,Self-employed,71178.37,8,3,4,Salaried,265000,94232.32,170767.68,81422.34,0,0,0,667,8.99,1033429,877192,84.88,1486.93,3.15,30,2023,,,
B00024,Male,19,Bachelor's degree,Canadian-born,Widowed,0,Tech,Unemployed,48209.21,6,1,5,Contract,224000,92729.29,131270.71,60921.53,2,102631.94,0,674,21.09,612462,558408,91.17,1708.33,6.01,20,2023,,,
